0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
EURO FX - CHICAGO MERCANTILE EXCHANGE,101228,2010-12-28,099741,CME,00,099,162312,57044,17543,656,22380,21578,2965,15443,61279,356,15818,9237,48,114710,113662,47602,48650,6176,12827,-1196,-286,-189,-703,79,-6806,9019,97,962,-1634,10,6694,5386,-518,790,100.0,35.1,10.8,0.4,13.8,13.3,1.8,9.5,37.8,0.2,9.7,5.7,0.0,70.7,70.0,29.3,30.0,148,20,9,4,15,17,11,23,43,9,10,10,.,80,94,26.2,17.9,38.3,26.6,26.1,17.9,37.7,26.5,(CONTRACTS OF EUR 125,000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,101221,2010-12-21,099741,CME,00,099,156136,44217,18739,942,22569,22281,2886,22249,52260,259,14856,10871,38,108016,108276,48120,47860,9355,3160,1677,415,-947,-334,278,5483,5803,91,506,3720,0,8986,11650,369,-2295,100.0,28.3,12.0,0.6,14.5,14.3,1.8,14.2,33.5,0.2,9.5,7.0,0.0,69.2,69.3,30.8,30.7,144,18,13,5,15,17,11,22,41,5,7,11,.,71,95,19.9,17.7,33.6,26.4,19.7,17.7,33.1,26.3,(CONTRACTS OF EUR 125,000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,101214,2010-12-14,099741,CME,00,099,146781,41057,17062,527,23516,22615,2608,16766,46457,168,14350,7151,38,99030,96626,47751,50155,-51318,-28928,-20995,-17724,213,300,-24,-720,-3442,-5728,1390,879,-447,-51968,-47181,650,-4137,100.0,28.0,11.6,0.4,16.0,15.4,1.8,11.4,31.7,0.1,9.8,4.9,0.0,67.5,65.8,32.5,34.2,140,17,12,.,15,16,11,18,42,5,11,9,.,67,93,19.4,16.6,32.7,25.5,19.0,16.6,31.9,24.8,(CONTRACTS OF EUR 125,000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,101207,2010-12-07,099741,CME,00,099,198099,69985,38057,18251,23303,22315,2632,17486,49899,5896,12960,6272,485,150998,143807,47101,54292,-5831,5112,-17803,13499,-2803,636,-523,-13978,-110,2303,-872,-7705,278,3016,-9425,-8847,3594,100.0,35.3,19.2,9.2,11.8,11.3,1.3,8.8,25.2,3.0,6.5,3.2,0.2,76.2,72.6,23.8,27.4,147,21,16,13,14,15,10,19,45,12,8,9,4,84,102,25.9,21.1,37.3,29.7,23.7,18.4,34.5,25.4,(CONTRACTS OF EUR 125,000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,101130,2010-11-30,099741,CME,00,099,203930,64873,55860,4752,26106,21679,3155,31464,50009,3593,13832,13977,207,147982,153232,55948,50698,16741,3442,783,-552,957,1565,562,10316,2076,-918,-4565,1727,-210,9032,5033,7709,11708,100.0,31.8,27.4,2.3,12.8,10.6,1.5,15.4,24.5,1.8,6.8,6.9,0.1,72.6,75.1,27.4,24.9,159,21,16,8,18,16,10,25,43,17,7,13,.,91,105,23.9,25.5,34.7,32.6,22.2,25.3,32.6,32.2,(CONTRACTS OF EUR 125,000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,101123,2010-11-23,099741,CME,00,099,187189,61431,55077,5304,25149,20114,2593,21148,47933,4511,18397,12250,417,138950,148199,48239,38990,-8409,8814,-11576,323,421,905,-198,-12002,4361,352,-295,3548,3,-2582,-2282,-5827,-6127,100.0,32.8,29.4,2.8,13.4,10.7,1.4,11.3,25.6,2.4,9.8,6.5,0.2,74.2,79.2,25.8,20.8,160,23,18,8,18,14,8,23,48,16,8,8,.,90,104,25.2,25.7,35.6,33.1,23.1,25.4,33.2,32.6,(CONTRACTS OF EUR 125,000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,101116,2010-11-16,099741,CME,00,099,195598,52617,66653,4981,24728,19209,2791,33150,43572,4159,18692,8702,414,141532,150481,54066,45117,-8930,3169,-18489,343,-1766,2372,39,-2130,3328,-1036,-4280,2219,143,-5518,-11081,-3412,2151,100.0,26.9,34.1,2.5,12.6,9.8,1.4,16.9,22.3,2.1,9.6,4.4,0.2,72.4,76.9,27.6,23.1,157,21,17,8,18,14,7,30,42,16,9,6,.,93,98,22.7,30.2,33.2,38.0,22.5,30.2,32.7,36.9,(CONTRACTS OF EUR 125,000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,101109,2010-11-09,099741,CME,00,099,204528,49448,85142,4638,26494,16837,2752,35280,40244,5195,22972,6483,271,147050,161562,57478,42966,-2444,1939,-6070,1077,806,-2595,633,-10668,6112,2311,2881,10,-64,-1085,1414,-1359,-3858,100.0,24.2,41.6,2.3,13.0,8.2,1.3,17.2,19.7,2.5,11.2,3.2,0.1,71.9,79.0,28.1,21.0,157,19,19,6,18,13,6,35,34,18,11,8,.,95,94,21.0,36.4,30.4,42.8,20.6,36.4,29.8,42.4,(CONTRACTS OF EUR 125,000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,101102,2010-11-02,099741,CME,00,099,206972,47509,91212,3561,25688,19432,2119,45948,34132,2884,20091,6473,335,148135,160148,58837,46824,-2131,-3573,-8757,796,1719,-980,-148,-1995,4579,23,-1456,1155,72,-4562,-3260,2431,1129,100.0,23.0,44.1,1.7,12.4,9.4,1.0,22.2,16.5,1.4,9.7,3.1,0.2,71.6,77.4,28.4,22.6,158,20,16,6,18,14,6,40,31,13,12,7,.,98,87,19.0,37.4,28.5,44.2,18.7,37.3,28.1,43.3,(CONTRACTS OF EUR 125,000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,101026,2010-10-26,099741,CME,00,099,209103,51082,99969,2765,23969,20412,2267,47943,29553,2861,21547,5318,263,152697,163408,56406,45695,-10658,-1496,-13269,1023,167,-2095,19,-2997,4965,504,-1944,-1247,-21,-4745,-10121,-5913,-537,100.0,24.4,47.8,1.3,11.5,9.8,1.1,22.9,14.1,1.4,10.3,2.5,0.1,73.0,78.1,27.0,21.9,155,20,19,5,17,13,6,40,30,16,11,5,.,98,85,20.8,42.0,30.8,48.4,20.7,41.4,30.4,47.0,(CONTRACTS OF EUR 125,000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,101019,2010-10-19,099741,CME,00,099,219761,52578,113238,1742,23802,22507,2248,50940,24588,2357,23491,6565,284,157442,173529,62319,46232,21925,3112,24637,-124,362,-1401,12,6898,-1897,-401,2936,508,-134,12661,21200,9264,725,100.0,23.9,51.5,0.8,10.8,10.2,1.0,23.2,11.2,1.1,10.7,3.0,0.1,71.6,79.0,28.4,21.0,157,18,21,4,17,13,6,39,27,16,14,7,.,97,89,19.8,45.9,29.4,51.7,19.5,44.8,29.1,50.5,(CONTRACTS OF EUR 125,000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,101012,2010-10-12,099741,CME,00,099,197836,49466,88601,1866,23440,23908,2236,44042,26485,2758,20555,6057,418,144781,152329,53055,45507,430,8469,3907,-918,-1096,-3527,-125,-4674,1658,1099,443,906,155,3353,3155,-2923,-2725,100.0,25.0,44.8,0.9,11.8,12.1,1.1,22.3,13.4,1.4,10.4,3.1,0.2,73.2,77.0,26.8,23.0,153,19,17,.,16,13,6,44,26,14,11,6,.,96,82,20.1,40.4,30.1,46.8,19.8,39.1,29.5,45.5,(CONTRACTS OF EUR 125,000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,101005,2010-10-05,099741,CME,00,099,197406,40997,84694,2784,24536,27435,2361,48716,24827,1659,20112,5151,263,141428,149174,55978,48232,7367,3333,14188,-467,805,-340,23,1124,-10386,1176,-238,2198,0,5756,6392,1611,975,100.0,20.8,42.9,1.4,12.4,13.9,1.2,24.7,12.6,0.8,10.2,2.6,0.1,71.6,75.6,28.4,24.4,162,17,20,5,16,15,8,45,28,12,12,8,.,98,90,20.2,38.5,30.8,45.0,19.8,37.3,29.7,43.6,(CONTRACTS OF EUR 125,000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,100928,2010-09-28,099741,CME,00,099,190039,37664,70506,3251,23731,27775,2338,47592,35213,483,20350,2953,263,135672,142782,54367,47257,22576,-3584,35637,1164,290,-1933,-250,18302,-9752,-1686,2616,-1146,-16,16836,22018,5740,558,100.0,19.8,37.1,1.7,12.5,14.6,1.2,25.0,18.5,0.3,10.7,1.6,0.1,71.4,75.1,28.6,24.9,159,18,22,4,16,14,7,40,30,9,13,6,.,94,86,19.9,33.8,30.6,41.4,19.4,33.3,29.5,40.1,(CONTRACTS OF EUR 125,000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,100921,2010-09-21,099741,CME,00,099,167463,41248,34869,2087,23441,29708,2588,29290,44965,2169,17734,4099,279,118836,120764,48627,46699,-3188,-6193,13081,352,-639,-708,-120,-3717,-15838,1879,3740,-1390,-17,-4715,-2761,1527,-427,100.0,24.6,20.8,1.2,14.0,17.7,1.5,17.5,26.9,1.3,10.6,2.4,0.2,71.0,72.1,29.0,27.9,146,16,17,.,16,16,8,32,32,10,11,6,.,84,85,25.7,27.7,36.7,34.9,25.2,27.1,35.5,34.3,(CONTRACTS OF EUR 125,000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,100914,2010-09-14,099741,CME,00,099,170651,47441,21788,1735,24080,30416,2708,33007,60803,290,13994,5489,296,123551,123525,47100,47126,-87137,-75723,-56267,-3776,332,2317,-102,3907,-9426,-3039,-1714,-3960,-358,-80473,-74611,-6664,-12526,100.0,27.8,12.8,1.0,14.1,17.8,1.6,19.3,35.6,0.2,8.2,3.2,0.2,72.4,72.4,27.6,27.6,153,19,13,5,16,17,9,36,37,8,9,6,.,86,91,25.6,25.9,36.8,33.9,25.1,25.3,35.6,33.3,(CONTRACTS OF EUR 125,000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,100907,2010-09-07,099741,CME,00,099,257788,123164,78055,5511,23748,28099,2810,29100,70229,3329,15708,9449,654,204024,198136,53764,59652,16655,6038,3071,2600,690,-363,139,-3232,5737,-443,689,-4287,386,6867,6840,9788,9815,100.0,47.8,30.3,2.1,9.2,10.9,1.1,11.3,27.2,1.3,6.1,3.7,0.3,79.1,76.9,20.9,23.1,158,25,14,10,16,16,10,26,47,21,7,7,.,92,110,32.8,36.9,42.4,44.6,32.4,35.7,41.0,43.4,(CONTRACTS OF EUR 125,000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,100831,2010-08-31,099741,CME,00,099,241133,117126,74984,2911,23058,28462,2671,32332,64492,3772,15019,13736,268,197157,191296,43976,49837,-4315,-3314,-7317,474,431,613,-189,3217,-1265,1763,-3849,1519,5,-1462,-4397,-2853,82,100.0,48.6,31.1,1.2,9.6,11.8,1.1,13.4,26.7,1.6,6.2,5.7,0.1,81.8,79.3,18.2,20.7,163,24,13,7,14,18,8,35,40,21,8,10,.,92,109,35.3,36.5,45.2,44.1,35.0,36.1,44.0,43.6,(CONTRACTS OF EUR 125,000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,100824,2010-08-24,099741,CME,00,099,245448,120440,82301,2437,22627,27849,2860,29115,65757,2009,18868,12217,263,198619,195693,46829,49755,-4642,4900,-10107,-334,-215,3036,-53,-6024,1940,344,169,-450,0,-1213,-5624,-3429,982,100.0,49.1,33.5,1.0,9.2,11.3,1.2,11.9,26.8,0.8,7.7,5.0,0.1,80.9,79.7,19.1,20.3,162,22,14,6,14,18,7,35,41,17,9,9,.,87,106,36.6,39.2,45.9,45.4,36.4,38.7,44.8,44.9,(CONTRACTS OF EUR 125,000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,100817,2010-08-17,099741,CME,00,099,250090,115540,92408,2771,22842,24813,2913,35139,63817,1665,18699,12667,263,199832,201317,50258,48773,15814,6925,-1623,-220,31,2538,-180,1737,14587,-30,1777,-2359,0,10040,12713,5774,3101,100.0,46.2,36.9,1.1,9.1,9.9,1.2,14.1,25.5,0.7,7.5,5.1,0.1,79.9,80.5,20.1,19.5,156,22,15,7,14,17,7,35,36,19,10,7,.,90,100,34.6,43.0,43.3,50.6,34.4,43.0,42.6,50.1,(CONTRACTS OF EUR 125,000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,100810,2010-08-10,099741,CME,00,099,234276,108615,94031,2991,22811,22275,3093,33402,49230,1695,16922,15026,263,189792,188604,44484,45672,-1825,418,12695,-789,2482,-929,-261,-746,-10021,-323,-986,1965,-25,-230,2312,-1595,-4137,100.0,46.4,40.1,1.3,9.7,9.5,1.3,14.3,21.0,0.7,7.2,6.4,0.1,81.0,80.5,19.0,19.5,158,23,14,7,15,16,7,39,32,21,7,12,.,92,102,34.0,45.3,42.9,52.0,33.7,45.3,41.7,51.4,(CONTRACTS OF EUR 125,000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,100803,2010-08-03,099741,CME,00,099,236101,108197,81336,3780,20329,23204,3354,34148,59251,2018,17908,13061,288,190022,186292,46079,49809,3908,-2248,10835,-226,881,1527,60,30,-8733,527,2076,1300,1,1101,5291,2807,-1383,100.0,45.8,34.4,1.6,8.6,9.8,1.4,14.5,25.1,0.9,7.6,5.5,0.1,80.5,78.9,19.5,21.1,157,23,12,6,14,18,7,35,36,22,10,9,.,93,101,36.5,39.2,44.7,45.8,36.2,39.2,43.6,45.8,(CONTRACTS OF EUR 125,000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,100727,2010-07-27,099741,CME,00,099,232193,110445,70501,4006,19448,21677,3294,34118,67984,1491,15832,11761,287,188921,181001,43272,51192,2075,-1827,5733,73,-1129,-1430,-116,3820,-3065,-198,422,931,-1,1044,1927,1031,148,100.0,47.6,30.4,1.7,8.4,9.3,1.4,14.7,29.3,0.6,6.8,5.1,0.1,81.4,78.0,18.6,22.0,152,22,12,6,13,16,7,35,38,24,8,8,.,90,101,38.7,35.5,47.7,42.7,38.5,35.5,46.6,42.7,(CONTRACTS OF EUR 125,000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,100720,2010-07-20,099741,CME,00,099,230118,112272,64768,3933,20577,23107,3410,30298,71049,1689,15410,10830,288,187877,179074,42241,51044,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100.0,48.8,28.1,1.7,8.9,10.0,1.5,13.2,30.9,0.7,6.7,4.7,0.1,81.6,77.8,18.4,22.2,156,23,13,6,14,18,7,32,39,20,8,9,.,87,104,39.9,35.6,49.3,42.7,39.7,35.6,48.2,42.7,(CONTRACTS OF EUR 125,000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,111227,2011-12-27,099741,CME,00,099,276022,122475,27029,155,49677,32557,4724,57998,144008,985,14330,12138,162,250506,221758,25516,54264,9425,4430,2962,3,-1648,-692,461,7811,9020,76,0,-23,0,11133,11807,-1708,-2382,100.0,44.4,9.8,0.1,18.0,11.8,1.7,21.0,52.2,0.4,5.2,4.4,0.1,90.8,80.3,9.2,19.7,170,22,10,.,15,18,10,24,60,9,6,15,.,77,116,43.0,32.4,57.5,39.9,42.7,32.4,57.1,39.9,(CONTRACTS OF EUR 125,000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,111220,2011-12-20,099741,CME,00,099,266597,118045,24067,152,51325,33249,4263,50187,134988,909,14330,12161,162,239373,209951,27224,56646,-61143,8983,-33437,-16556,483,447,-1623,-27075,10504,-18144,-982,1942,-1242,-56156,-58109,-4987,-3034,100.0,44.3,9.0,0.1,19.3,12.5,1.6,18.8,50.6,0.3,5.4,4.6,0.1,89.8,78.8,10.2,21.2,165,22,8,.,15,18,9,26,56,9,6,14,.,79,107,41.3,32.2,57.2,39.9,40.9,32.2,56.8,39.8,(CONTRACTS OF EUR 125,000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,111213,2011-12-13,099741,CME,00,099,327740,109062,57504,16708,50842,32802,5886,77262,124484,19053,15312,10219,1404,295529,268060,32211,59680,44431,8548,-2326,9772,-6319,-134,2227,10737,20054,15341,1089,-3079,296,41691,42151,2740,2280,100.0,33.3,17.5,5.1,15.5,10.0,1.8,23.6,38.0,5.8,4.7,3.1,0.4,90.2,81.8,9.8,18.2,179,22,14,9,15,20,11,24,62,18,7,15,.,88,132,39.9,26.1,53.8,35.3,38.9,25.3,51.9,33.0,(CONTRACTS OF EUR 125,000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,111206,2011-12-06,099741,CME,00,099,283309,100514,59830,6936,57161,32936,3659,66525,104430,3712,14223,13298,1108,253838,225909,29471,57400,5798,-1287,4073,6353,-7281,798,806,-2791,-3654,429,8495,1530,643,5367,10978,431,-5180,100.0,35.5,21.1,2.4,20.2,11.6,1.3,23.5,36.9,1.3,5.0,4.7,0.4,89.6,79.7,10.4,20.3,180,22,16,7,17,22,10,26,51,16,7,19,4,90,127,45.5,24.6,57.2,36.0,45.3,24.6,57.0,34.4,(CONTRACTS OF EUR 125,000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,111129,2011-11-29,099741,CME,00,099,277511,101801,55757,583,64442,32138,2853,69316,108084,3283,5728,11768,465,248471,214931,29040,62580,17447,3401,8383,516,16107,26,-6046,6589,18028,-166,-287,-901,-473,19641,19367,-2194,-1920,100.0,36.7,20.1,0.2,23.2,11.6,1.0,25.0,38.9,1.2,2.1,4.2,0.2,89.5,77.4,10.5,22.6,180,24,13,6,17,21,10,23,61,15,5,16,.,86,128,47.8,22.1,58.9,34.0,47.7,22.1,58.9,33.9,(CONTRACTS OF EUR 125,000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,111122,2011-11-22,099741,CME,00,099,260064,98400,47374,67,48335,32112,8899,62727,90056,3449,6015,12669,938,228830,195564,31234,64500,15512,4465,7945,-33,5533,793,-15,2893,3171,2169,-41,-1,658,15629,14687,-117,825,100.0,37.8,18.2,0.0,18.6,12.3,3.4,24.1,34.6,1.3,2.3,4.9,0.4,88.0,75.2,12.0,24.8,175,26,12,.,16,22,12,28,49,15,6,16,4,89,120,44.2,26.8,54.7,36.8,41.9,26.8,52.3,36.3,(CONTRACTS OF EUR 125,000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,111115,2011-11-15,099741,CME,00,099,244552,93935,39429,100,42802,31319,8914,59834,86885,1280,6056,12670,280,213201,180877,31351,63675,13107,7359,-9915,-60,930,-1725,260,7151,19262,-562,51,660,-631,14498,7289,-1391,5818,100.0,38.4,16.1,0.0,17.5,12.8,3.6,24.5,35.5,0.5,2.5,5.2,0.1,87.2,74.0,12.8,26.0,177,26,11,4,16,22,12,28,53,14,5,16,.,85,124,44.0,25.2,54.5,34.7,41.5,25.2,51.8,33.9,(CONTRACTS OF EUR 125,000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,111108,2011-11-08,099741,CME,00,099,231445,86576,49344,160,41872,33044,8654,52683,67623,1842,6005,12010,911,198703,173588,32742,57857,216,-4183,8161,-168,2762,-767,-300,4471,-10918,327,-411,1933,-1191,1307,-2923,-1091,3139,100.0,37.4,21.3,0.1,18.1,14.3,3.7,22.8,29.2,0.8,2.6,5.2,0.4,85.9,75.0,14.1,25.0,174,26,12,4,15,24,11,26,49,15,7,14,.,88,119,39.3,25.3,50.2,34.5,36.7,25.2,47.3,33.8,(CONTRACTS OF EUR 125,000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,111101,2011-11-01,099741,CME,00,099,231229,90759,41183,328,39110,33811,8954,48212,78541,1515,6416,10077,2102,197396,176511,33833,54718,-4545,-8020,10066,108,1246,-398,771,-3031,-13168,1083,-69,871,1677,-6235,1010,1690,-5555,100.0,39.3,17.8,0.1,16.9,14.6,3.9,20.9,34.0,0.7,2.8,4.4,0.9,85.4,76.3,14.6,23.7,186,26,11,4,14,25,11,27,59,15,10,14,4,90,130,39.4,21.3,50.5,31.7,36.6,21.3,47.6,31.1,(CONTRACTS OF EUR 125,000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,111025,2011-10-25,099741,CME,00,099,235774,98779,31117,220,37864,34209,8183,51243,91709,432,6485,9206,425,203631,175501,32143,60273,5291,471,6547,-183,7276,-2525,-93,-3516,4158,-189,-383,-2449,0,3383,5266,1908,25,100.0,41.9,13.2,0.1,16.1,14.5,3.5,21.7,38.9,0.2,2.8,3.9,0.2,86.4,74.4,13.6,25.6,169,27,11,4,14,24,11,19,55,9,7,12,.,79,115,44.1,20.4,54.5,29.5,41.5,20.4,51.9,28.8,(CONTRACTS OF EUR 125,000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,111018,2011-10-18,099741,CME,00,099,230483,98308,24570,403,30588,36734,8276,54759,87551,621,6868,11655,425,200248,170235,30235,60248,7316,648,-874,55,3954,-884,2780,4074,6049,-245,1177,2309,64,12507,9254,-5191,-1938,100.0,42.7,10.7,0.2,13.3,15.9,3.6,23.8,38.0,0.3,3.0,5.1,0.2,86.9,73.9,13.1,26.1,175,27,11,.,15,26,12,20,55,11,6,15,.,79,122,44.1,19.0,55.0,27.5,42.4,18.8,52.2,26.8,(CONTRACTS OF EUR 125,000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,111011,2011-10-11,099741,CME,00,099,223167,97660,25444,348,26634,37618,5496,50685,81502,866,5691,9346,361,187741,160981,35426,62186,2328,1110,9373,274,-2443,-3741,2354,-2325,-8129,-96,582,-834,0,-544,-799,2872,3127,100.0,43.8,11.4,0.2,11.9,16.9,2.5,22.7,36.5,0.4,2.6,4.2,0.2,84.1,72.1,15.9,27.9,170,27,13,.,14,26,11,14,57,11,6,13,.,72,124,43.2,18.2,53.6,27.8,43.0,18.2,53.1,26.9,(CONTRACTS OF EUR 125,000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,111004,2011-10-04,099741,CME,00,099,220839,96550,16071,74,29077,41359,3142,53010,89631,962,5109,10180,361,188285,161780,32554,59059,5667,-1719,2988,29,1024,5126,484,8804,-1034,3,-425,-694,-278,7922,6624,-2255,-957,100.0,43.7,7.3,0.0,13.2,18.7,1.4,24.0,40.6,0.4,2.3,4.6,0.2,85.3,73.3,14.7,26.7,178,27,12,.,16,27,12,19,56,13,6,15,.,80,126,44.4,21.3,54.8,29.8,44.4,20.7,54.4,29.1,(CONTRACTS OF EUR 125,000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,110927,2011-09-27,099741,CME,00,099,215172,98269,13083,45,28053,36233,2658,44206,90665,959,5534,10874,639,180363,155156,34809,60016,13616,6573,2261,-64,-2289,4013,412,7519,3043,57,-526,234,-281,11401,9675,2215,3941,100.0,45.7,6.1,0.0,13.0,16.8,1.2,20.5,42.1,0.4,2.6,5.1,0.3,83.8,72.1,16.2,27.9,181,27,12,.,14,27,12,21,59,11,8,13,.,82,127,42.9,19.2,53.3,27.0,42.9,19.2,52.9,27.0,(CONTRACTS OF EUR 125,000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,110920,2011-09-20,099741,CME,00,099,201556,91696,10822,109,30342,32220,2246,36687,87622,902,6060,10640,920,168962,145481,32594,56075,-62944,15724,-26507,-38876,-1985,-176,498,-26690,13756,-2263,-321,732,507,-53406,-52329,-9538,-10615,100.0,45.5,5.4,0.1,15.1,16.0,1.1,18.2,43.5,0.4,3.0,5.3,0.5,83.8,72.2,16.2,27.8,174,23,10,.,15,23,11,21,60,12,8,14,.,80,122,38.5,15.5,49.3,24.4,38.5,15.5,48.9,24.4,(CONTRACTS OF EUR 125,000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,110913,2011-09-13,099741,CME,00,099,264500,75972,37329,38985,32327,32396,1748,63377,73866,3165,6381,9908,413,222368,197810,42132,66690,54985,23602,2547,26461,-425,2093,-282,9565,12371,-1231,281,755,15,57986,42729,-3001,12256,100.0,28.7,14.1,14.7,12.2,12.2,0.7,24.0,27.9,1.2,2.4,3.7,0.2,84.1,74.8,15.9,25.2,168,21,16,14,15,22,10,23,53,21,7,11,5,93,125,38.9,21.8,49.8,30.3,34.5,13.5,43.0,19.9,(CONTRACTS OF EUR 125,000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,110906,2011-09-06,099741,CME,00,099,209515,52370,34782,12524,32752,30303,2030,53812,61495,4396,6100,9153,398,164382,155081,45133,54434,30353,16811,-10035,7191,1325,1035,394,10705,21729,1096,-1339,1934,142,36325,23486,-5972,6867,100.0,25.0,16.6,6.0,15.6,14.5,1.0,25.7,29.4,2.1,2.9,4.4,0.2,78.5,74.0,21.5,26.0,173,23,14,12,15,19,10,29,56,22,5,12,.,93,127,26.7,18.6,36.5,26.4,26.1,16.1,35.5,23.8,(CONTRACTS OF EUR 125,000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,110830,2011-08-30,099741,CME,00,099,179162,35559,44817,5333,31427,29268,1636,43107,39766,3300,7439,7219,256,128057,131595,51105,47567,4448,109,3294,-867,5946,-3135,-22,229,769,1302,-6016,-673,51,732,719,3716,3729,100.0,19.8,25.0,3.0,17.5,16.3,0.9,24.1,22.2,1.8,4.2,4.0,0.1,71.5,73.5,28.5,26.5,159,22,14,8,16,19,9,35,41,19,7,5,.,95,103,17.2,20.5,28.9,30.2,17.0,18.7,28.4,28.1,(CONTRACTS OF EUR 125,000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,110823,2011-08-23,099741,CME,00,099,174714,35450,41523,6200,25481,32403,1658,42878,38997,1998,13455,7892,205,127325,130876,47389,43838,5783,720,3711,904,768,366,96,1580,1361,-566,160,159,-110,3552,5921,2231,-138,100.0,20.3,23.8,3.5,14.6,18.5,0.9,24.5,22.3,1.1,7.7,4.5,0.1,72.9,74.9,27.1,25.1,161,21,14,8,15,20,10,32,44,20,8,7,4,94,109,17.6,21.2,29.0,30.6,17.4,18.9,28.5,28.1,(CONTRACTS OF EUR 125,000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,110816,2011-08-16,099741,CME,00,099,168931,34730,37812,5296,24713,32037,1562,41298,37636,2564,13295,7733,315,123773,124955,45158,43976,-14640,-5993,310,1074,230,-3091,-362,-7331,-8135,-80,-817,-5119,-111,-13390,-15514,-1250,874,100.0,20.6,22.4,3.1,14.6,19.0,0.9,24.4,22.3,1.5,7.9,4.6,0.2,73.3,74.0,26.7,26.0,157,21,12,8,15,20,10,31,44,21,7,7,4,92,108,18.2,20.7,29.8,30.3,18.0,18.7,29.5,28.1,(CONTRACTS OF EUR 125,000),099741,CME,099,F10,FutOnly
