Datetime,Open,High,Low,Close,Volume
2026-06-03 00:00:00,1.163061261177063,1.163061261177063,1.1627906560897827,1.1627906560897827,0
2026-06-03 00:15:00,1.1629259586334229,1.1629259586334229,1.162520408630371,1.1626555919647217,0
2026-06-03 00:30:00,1.1626555919647217,1.1626555919647217,1.16225004196167,1.162520408630371,0
2026-06-03 00:45:00,1.1623852252960205,1.162520408630371,1.16225004196167,1.162520408630371,0
2026-06-03 01:00:00,1.162520408630371,1.1626555919647217,1.162520408630371,1.1626555919647217,0
2026-06-03 01:15:00,1.1626555919647217,1.163061261177063,1.1626555919647217,1.163061261177063,0
2026-06-03 01:30:00,1.163061261177063,1.1633317470550537,1.163061261177063,1.1631964445114136,0
2026-06-03 01:45:00,1.1631964445114136,1.1633317470550537,1.163061261177063,1.1631964445114136,0
2026-06-03 02:00:00,1.163061261177063,1.1631964445114136,1.1629259586334229,1.1631964445114136,0
2026-06-03 02:15:00,1.1631964445114136,1.1633317470550537,1.163061261177063,1.1633317470550537,0
2026-06-03 02:30:00,1.1633317470550537,1.163602590560913,1.1633317470550537,1.1634671688079834,0
2026-06-03 02:45:00,1.1634671688079834,1.163602590560913,1.1631964445114136,1.1633317470550537,0
2026-06-03 03:00:00,1.1633317470550537,1.163602590560913,1.1633317470550537,1.1634671688079834,0
2026-06-03 03:15:00,1.1634671688079834,1.1634671688079834,1.1631964445114136,1.1631964445114136,0
2026-06-03 03:30:00,1.163061261177063,1.1633317470550537,1.163061261177063,1.1631964445114136,0
2026-06-03 03:45:00,1.163061261177063,1.1631964445114136,1.1629259586334229,1.1631964445114136,0
2026-06-03 04:00:00,1.163061261177063,1.1633317470550537,1.163061261177063,1.1631964445114136,0
2026-06-03 04:15:00,1.1631964445114136,1.1631964445114136,1.163061261177063,1.163061261177063,0
2026-06-03 04:30:00,1.163061261177063,1.1633317470550537,1.163061261177063,1.1631964445114136,0
2026-06-03 04:45:00,1.1631964445114136,1.1631964445114136,1.163061261177063,1.163061261177063,0
2026-06-03 05:00:00,1.163061261177063,1.163061261177063,1.1629259586334229,1.1629259586334229,0
2026-06-03 05:15:00,1.1629259586334229,1.1629259586334229,1.1627906560897827,1.1627906560897827,0
2026-06-03 05:30:00,1.1627906560897827,1.1629259586334229,1.1627906560897827,1.1629259586334229,0
2026-06-03 05:45:00,1.1629259586334229,1.1629259586334229,1.1627906560897827,1.1629259586334229,0
2026-06-03 06:00:00,1.1629259586334229,1.163061261177063,1.1627906560897827,1.163061261177063,0
2026-06-03 06:15:00,1.163061261177063,1.163061261177063,1.162520408630371,1.162520408630371,0
