Date,Open,High,Low,Close,ATR,Direction,Body_ATR,Range_ATR,UpperWick_ATR,LowerWick_ATR,CloseLocation,DirStreak,Range_Expansion,fwd_1D,fwd_2D,fwd_3D,fwd_5D,fwd_10D
2003-12-01,1.20339834690094,1.204006910324097,1.194400668144226,1.19650137424469,0.009606242179870828,-1,0.7179678095876135,1.0,0.06335083082041801,0.21868135959196844,0.21868135959196844,0,,1.0306986673657341,1.3115591143106358,0.9642332162001572,2.1087866591752302,2.923505079463365
2003-12-02,1.1961007118225098,1.2109030485153198,1.1946003437042236,1.2088974714279177,0.01049910386403421,1,1.2188430337606804,1.5527710766766325,0.19102364481529113,0.142904398100661,0.8769788749387736,0,,0.28086044694488443,-0.06646545116558335,0.8071593590652641,1.3227818054148661,1.908819072873427
2003-12-03,1.208999752998352,1.213003396987915,1.2077003717422483,1.2122975587844849,0.009806293381585212,1,0.3362948320846295,0.5407777474438031,0.07197808345767392,0.1325048319014997,0.8668989547038384,1,,-0.34732589811047215,0.5262989121203684,0.7972275448645889,0.5592187590460062,2.2757245739313663
2003-12-04,1.2120037078857422,1.2144027948379517,1.2043983936309814,1.2080942392349243,0.009832707758303213,-1,0.39759837746794896,1.0174614615716628,0.2439904664291042,0.37587261767460955,0.36942197013929434,0,,0.8736248102308429,1.1445534429750652,1.3892472565804348,1.1775500206720237,2.791859496412657
2003-12-05,1.207802414894104,1.2190959453582764,1.2065927982330322,1.2186946868896484,0.010188766340562004,1,1.0690471870163258,1.227150246391309,0.03938243897403938,0.11872062040094403,0.9679074024636741,0,1.1637433648742115,0.2709286327442258,0.5156224463495918,0.03291984692562651,0.7523214394717652,1.6118494426116496
2003-12-08,1.2167967557907104,1.2240052223205566,1.2154065370559692,1.2220009565353394,0.009976755530432056,1,0.5216325817300579,0.8618719019784405,0.20089354491083614,0.1393457753375466,0.7669102050436012,1,0.8156293816997567,0.2446938136053728,-0.23800878581860266,0.03299657769696123,0.8147184202881408,1.453694778817969
2003-12-09,1.2221053838729858,1.2277017831802368,1.2197948694229126,1.2249947786331177,0.009700776627351013,1,0.2978519010514359,0.8150804890230069,0.27905029165261186,0.2381782963189591,0.6576408153419371,2,0.8921025094754239,-0.48270259942397126,-0.21169723590840428,0.2366989931221539,0.5860372674585645,1.2176824525519836
2003-12-10,1.2249047756195068,1.226602554321289,1.2162047624588013,1.2190959453582764,0.009793711992035917,-1,0.5931183463383559,1.0616803793028735,0.17335395437019507,0.29520807859432247,0.27805739311878747,0,1.0521750878792924,0.27100536351556476,0.7194015925461317,1.0527272061067212,1.7165058148853738,2.12660913501208
2003-12-11,1.2190959453582764,1.2234959602355957,1.2122975587844849,1.2224042415618896,0.009981003919912574,1,0.33145926303195555,1.1219714510651078,0.109379645821802,0.6811325422113503,0.9025112040792429,0,1.1064533986643268,0.44839622903056475,0.7817218425911638,0.7977345033669857,1.6143094757406367,1.815763646583319
2003-12-12,1.2227030992507937,1.2306026220321655,1.2212995290756226,1.2278977632522583,0.009890615791463293,1,0.5252113832940712,0.9405979519063493,0.27347728765703566,0.1419092809552423,0.7092516658124038,1,0.9812377879651261,0.33332561356060225,0.34933827433642073,0.9971042223392439,0.8595280031398964,1.2379906383460462
